	github_urls	forks	useful_forks	transitive_forks
451	mengrang/dfl-cnn-tensorflow	11	0	0
452	vudung45/facerec	82	5	1
453	shenweichen/deepctr	432	10	2
454	kastnerkyle/deform-conv	161	115	1
455	hq-jiang/instance-segmentation-with-discriminative-loss-tensorflow	34	2	0
456	lijiancheng0614/tensorflow_object_detection	10	0	1
457	innerpeace-wu/im2p-tensorflow	3	0	0
458	hasnainraz/fc-densenet-tensorflow	28	2	0
459	ruiminshen/yolo-tf	78	2	0
460	kleinyuan/tf-object-detection	35	1	0
461	xusean0118/dvsnet	20	3	0
462	geonseoks/ssd-tensorflow	0	0	0
463	gitlimlab/representation-learning-by-learning-to-count	15	0	0
464	corea/automatic-portrait-tf	22	1	1
465	shanren7/real_time_face_recognition	410	7	4
466	balancap/tf-imagenet	13	0	0
467	nnuyi/non-local_nets-tensorflow	25	0	0
468	stesha2016/tensorflow-classification	1	1	0
469	darkonhub/darkon	37	2	0
470	marsan-ma-zz/imgrec	32	2	0
471	flyzaway/deep-cross-tensorflow	6	0	0
472	alexacarlson/sensoreffectaugmentation	2	0	0
473	zhongwen/predictron	46	1	2
474	wanggrun/learning-feature-pyramids-for-coco	1	0	0
475	bgshih/seglink	60	2	0
476	sanster/tf_ctpn	9	0	0
477	lixilinx/psgd_tf	10	0	0
478	whitehuai/tensorflow-fcn	2	0	0
479	asanakoy/deeppose_tf	38	4	4
480	petarv-/gat	187	20	2
481	simo23/tinyyolov2	26	1	0
482	machrisaa/tensorzoom	29	3	0
483	buffer51/lstm-rcnn-pedestrian-detection	40	2	1
484	daigo0927/pwc-net_tf	14	1	1
485	yfxc/tensorflow-t3d	2	0	0
486	samitok/deeppose	13	1	0
487	dushyantadhyani/kdtf	20	2	0
488	jack-willturner/batchnorm-pruning	7	0	0
489	kelkelcheng/gc-net-tensorflow	6	0	0
490	conan7882/googlenet-inception-tf	70	5	0
491	benbenlijie/style_swap_tensorflow	9	1	0
492	chenxi116/tf-deeplab	14	1	0
493	ohadlights/mobilenetv2	5	0	0
494	wenqiwenqi1/neural-style	9	0	0
495	holyseven/pspnet-tf-reproduce	24	0	0
496	hikapok/tf.fashionai	64	0	0
497	tbornt/ucdig_tensorflow	1	0	0
498	huanzhang12/clever	10	1	0
499	kuku-sichuan/fpn_faster_rcnn	8	0	0
500	chenyncv/senet-tensorflow	5	0	0
501	yangxue0827/mobilefacenet_tensorflow	19	1	0
502	jingxil/pointer-networks	11	0	0
503	solivr/tf-crnn	67	3	4
504	yxlijun/tensorflow-yolov1	1	0	0
505	aiinai/tf-insightface	36	0	0
506	aminehorseman/facial-expression-recognition-using-cnn	43	1	0
507	gstaff/tfzip	11	2	0
508	luxu1113/resnet-tensorflow	0	0	0
509	auroua/tf_rfcn	11	1	0
510	mfigurnov/sact	46	1	0
511	railsnoob/ssd_tensorflow	2	0	0
512	yule-li/cosface	65	1	1
513	pocheyeniu/summarunner	7	1	0
514	leeyoshinari/yolo_v2	23	2	0
515	ibm/tensorflow-large-model-support	11	2	2
516	akuanchang/edge-detection-using-deep-learning	4	0	0
517	lizhuorong/adversarial-reprogramming-tensorflow	0	0	0
518	pavelgonchar/colornet	308	11	4
519	gudarjs/facial-recognition-tensorflow	1	1	0
520	avoroshilov/neural-style	1	0	0
521	fisheess/modular_ssd_tensorflow	5	0	0
522	zonetrooper32/vdcnn	32	2	1
523	mshunshin/segnetcmr	22	2	0
524	smallcorgi/3d-deepbox	103	1	0
525	nvlabs/noise2noise	100	5	1
526	hikapok/x-detector	34	3	0
527	shenmbsw/tensorflow-dropblock	3	0	0
528	bai-shang/ocr_tf_crnn_ctc	52	45	0
529	janivanecky/artistic-style	22	3	0
530	ckchaos/tlnet-tensorflow	1	0	0
531	hwalsuklee/tensorflow-mnist-mlp-batch_normalization-weight_initializers	11	0	0
532	xyf513/spidercnn	2	0	0
533	ildoonet/tf-lcnn	9	0	0
534	raj-08/tensorflow-object-contour-detection	14	0	0
535	hycis/tensorgraphx	20	0	1
536	weilinie/backpropvis	0	0	0
537	kevinhexin/unet_tensorflow	0	0	0
538	muhammadzaheer/roadway_intel	19	3	1
539	weisupreme/shufflenet2-tensorflow	0	0	0
540	therne/relation-networks-tensorflow	2	0	0
541	kimoktm/u-net	25	2	2
542	saeeeeru/dtc-tensorflow	8	1	0
543	oandrienko/fast-semantic-segmentation	26	2	0
544	detectionteamucas/r-fcn_tensorflow	3	0	0
545	avoroshilov/tf-squeezenet	6	0	0
546	ritchieng/wideresnet-tensorlayer	17	1	0
547	zjulearning/pixel_link	211	18	3
548	hasnainraz/skin-segmentation-tensorflow	6	1	0
549	shenduliandan/mobilenet-v2	3	0	0
550	li-ming-fan/ocr-crnn-ctc	23	0	2
551	amobiny/capsule_network_tensorflow	1	1	0
552	eragonruan/refinenet-image-segmentation	37	0	0
553	alvinzhu/py_densenet	1	0	0
554	amir-saniyan/zfnet	4	0	0
555	randaller/cnn-rtlsdr	25	1	0
556	shuangxieirene/mobilenet-v2	11	0	0
557	melonwan/densereg	33	2	0
